,paper_doi,pagerank
0,10.1109/MPAE.2007.376583,44.88121983757306
1,10.1109/MCOM.2002.1024422,37.714990572979936
2,10.1109/MCOM.2011.5783993,21.19622481052798
3,10.1109/TPEL.2004.833453,20.95330178460957
4,10.1109/TAP.1983.1143080,20.386481390799947
5,10.1109/TIA.2003.808920,18.766994551343874
6,10.1109/22.989974,18.766994551343874
7,10.1109/4.654935,17.91676396062944
8,10.1109/PESW.2002.985003,17.835789618656634
9,10.1109/MS.2018.2141030,17.14750771188781
10,10.1109/TIT.2006.871582,17.14750771188781
11,10.1109/5.119568,15.951111809239634
12,10.1109/PTC.2003.1304403,14.7182774527037
13,10.1109/22.798001,13.908534032975666
14,10.1109/JSSC.2005.857417,13.787072520016459
15,10.1109/7260.914305,13.665611007057255
16,10.1109/TIA.2005.853371,13.54414949409805
17,10.1109/35.393001,13.212154692009557
18,10.1109/MPE.2009.934876,13.098790613247631
19,10.1109/ICNN.1995.488968,13.098790613247631
20,10.1109/MPE.2008.931384,12.977329100288424
21,10.1109/TAC.2004.834433,12.726308640172737
22,10.1109/22.989965,11.92466265464198
23,10.1109/TCSVT.2004.839995,11.749218247034236
24,10.1109/SP.2015.22,11.749218247034236
25,10.1002/9781119078166.ch8,11.479303773791559
26,10.1109/TAP.1981.1142523,11.195893576886748
27,10.1109/5.726791,11.133138461857824
28,10.1109/34.993558,11.092038478531993
29,10.1109/ICCSIT.2010.5565098,11.092038478531993
30,10.1109/TAC.2004.834113,10.99345772195474
31,10.1109/WAINA.2009.192,10.669560354063524
32,10.1109/18.850663,10.669560354063524
33,10.1109/TAP.2004.835272,10.669560354063524
34,10.1109/JSSC.2004.836345,9.85981693433549
35,10.1109/JSAC.2004.839380,9.85981693433549
36,10.1109/22.798002,9.85981693433549
37,10.1109/MCOM.2014.6736746,9.738355421376285
38,10.1109/LED.2003.822667,9.61689390841708
39,10.1109/PROC.1966.4682,9.050073514607453
40,10.1109/5.704269,9.050073514607453
41,10.1109/2943.999610,8.807150488689043
42,10.1109/CVPR.2008.4587583,8.442765949811427
43,10.1109/TIT.1962.1057683,8.24033009487942
44,10.1109/CVPR.2005.177,8.24033009487942
45,10.1109/MCOM.2009.5350367,8.24033009487942
46,10.1109/TAP.1983.1143162,8.24033009487942
47,10.1109/98.788210,8.24033009487942
48,10.1109/5.989873,8.24033009487942
49,10.1109/28.740843,8.118868581920216
50,10.1109/MSP.2011.2178495,8.078381410933812
51,10.1109/2.940014,7.997407068961008
52,10.1109/ISIT.2008.4595260,7.997407068961008
53,10.1109/TSP.2006.881199,7.997407068961007
54,10.1109/49.761034,7.7544840430425985
55,10.1109/TMTT.2005.843485,7.4305866751513845
56,10.1109/MIE.2008.923519,7.4305866751513845
57,10.1109/JSSC.1983.1052013,7.4305866751513845
58,10.1109/APEC.2002.989382,7.4305866751513845
59,10.1109/MCOM.2014.6736752,7.4305866751513845
60,10.1109/28.556633,7.4305866751513845
61,10.1109/MCOM.2014.6736761,7.4305866751513845
62,10.1109/TPWRS.2005.852060,7.390099504164981
63,10.1109/TAP.1979.1142057,7.309125162192179
64,10.1109/8.537335,7.309125162192178
65,10.1109/MHS.1995.494215,7.309125162192178
66,10.1109/TCSVT.2003.818349,6.62084325542335
67,10.1109/JSSC.2004.837027,6.62084325542335
68,10.1109/MPE.2008.918702,6.62084325542335
69,10.1109/79.911197,6.62084325542335
70,10.1109/CVPR.2005.38,6.62084325542335
71,10.1109/4.658619,6.62084325542335
72,10.1109/TAC.2003.812781,6.62084325542335
73,10.1109/JSAC.2007.070402,6.350928782180671
74,10.1109/TSP.2006.879269,6.350928782180671
75,10.1109/ACC.2010.5530690,6.350928782180671
76,10.1109/MPE.2022.3153777,6.350928782180671
77,10.1109/TPDS.2013.45,6.350928782180671
78,10.1109/ISIT.2009.5205856,6.350928782180671
79,10.1109/TMTT.2006.874889,6.350928782180671
80,10.1109/JSSC.2006.872742,6.350928782180671
81,10.1109/SP.2012.44,6.350928782180671
82,10.1109/PASSAT/SocialCom.2011.79,6.350928782180671
83,10.1109/MCS.2011.940571,6.350928782180671
84,10.1109/TRO.2005.852261,6.350928782180671
85,10.1109/FOCS52979.2021.00078,6.350928782180671
